customer_id,name,email,credit_score,current_balance
1,Customer_1,customer_1@example.com,816,8093.79
2,Customer_2,customer_2@example.com,495,48971.91
3,Customer_3,customer_3@example.com,387,12612.84
4,Customer_4,customer_4@example.com,558,38330.34
5,Customer_5,customer_5@example.com,495,12586.66
6,Customer_6,customer_6@example.com,340,45904.39
7,Customer_7,customer_7@example.com,714,46559.28
8,Customer_8,customer_8@example.com,466,1705.69
9,Customer_9,customer_9@example.com,808,44280.97
10,Customer_10,customer_10@example.com,516,32494.61
11,Customer_11,customer_11@example.com,731,13694.53
12,Customer_12,customer_12@example.com,596,39158.49
13,Customer_13,customer_13@example.com,708,24478.4
14,Customer_14,customer_14@example.com,535,15062.4
15,Customer_15,customer_15@example.com,845,15147.4
16,Customer_16,customer_16@example.com,373,34458.01
17,Customer_17,customer_17@example.com,382,34140.22
18,Customer_18,customer_18@example.com,722,30555.26
19,Customer_19,customer_19@example.com,671,5780.36
20,Customer_20,customer_20@example.com,530,12465.99
21,Customer_21,customer_21@example.com,823,22723.44
22,Customer_22,customer_22@example.com,557,2714.63
23,Customer_23,customer_23@example.com,621,25333.29
24,Customer_24,customer_24@example.com,556,39539.88
25,Customer_25,customer_25@example.com,779,45728.96
26,Customer_26,customer_26@example.com,650,31633.71
27,Customer_27,customer_27@example.com,821,24069.97
28,Customer_28,customer_28@example.com,433,27201.0
29,Customer_29,customer_29@example.com,757,29693.88
30,Customer_30,customer_30@example.com,774,21455.09
31,Customer_31,customer_31@example.com,651,23075.89
32,Customer_32,customer_32@example.com,515,30649.9
33,Customer_33,customer_33@example.com,786,1947.47
34,Customer_34,customer_34@example.com,437,22070.0
35,Customer_35,customer_35@example.com,761,21280.38
36,Customer_36,customer_36@example.com,333,12676.04
37,Customer_37,customer_37@example.com,784,26735.8
38,Customer_38,customer_38@example.com,766,12388.72
39,Customer_39,customer_39@example.com,792,3913.71
40,Customer_40,customer_40@example.com,443,6376.05
41,Customer_41,customer_41@example.com,316,17716.1
42,Customer_42,customer_42@example.com,565,39590.45
43,Customer_43,customer_43@example.com,665,27158.36
44,Customer_44,customer_44@example.com,467,2166.88
45,Customer_45,customer_45@example.com,623,22789.98
46,Customer_46,customer_46@example.com,447,30494.91
47,Customer_47,customer_47@example.com,365,16107.09
48,Customer_48,customer_48@example.com,501,2834.14
49,Customer_49,customer_49@example.com,654,20697.09
50,Customer_50,customer_50@example.com,524,26987.15
51,Customer_51,customer_51@example.com,406,11568.48
52,Customer_52,customer_52@example.com,563,20330.49
53,Customer_53,customer_53@example.com,313,40115.88
54,Customer_54,customer_54@example.com,582,46700.73
55,Customer_55,customer_55@example.com,513,847.38
56,Customer_56,customer_56@example.com,564,25114.93
57,Customer_57,customer_57@example.com,339,12767.04
58,Customer_58,customer_58@example.com,386,14930.75
59,Customer_59,customer_59@example.com,358,19729.28
60,Customer_60,customer_60@example.com,364,46284.28
61,Customer_61,customer_61@example.com,773,18534.6
62,Customer_62,customer_62@example.com,618,26460.47
63,Customer_63,customer_63@example.com,699,31430.97
64,Customer_64,customer_64@example.com,405,37803.53
65,Customer_65,customer_65@example.com,333,36504.09
66,Customer_66,customer_66@example.com,537,39029.78
67,Customer_67,customer_67@example.com,789,42567.08
68,Customer_68,customer_68@example.com,416,44267.38
69,Customer_69,customer_69@example.com,669,8316.21
70,Customer_70,customer_70@example.com,631,30687.12
71,Customer_71,customer_71@example.com,813,29016.31
72,Customer_72,customer_72@example.com,748,13966.22
73,Customer_73,customer_73@example.com,678,5957.59
74,Customer_74,customer_74@example.com,713,48977.04
75,Customer_75,customer_75@example.com,598,48133.33
76,Customer_76,customer_76@example.com,746,21346.69
77,Customer_77,customer_77@example.com,782,18908.8
78,Customer_78,customer_78@example.com,344,41363.42
79,Customer_79,customer_79@example.com,427,42950.58
80,Customer_80,customer_80@example.com,374,32820.79
81,Customer_81,customer_81@example.com,301,27101.7
82,Customer_82,customer_82@example.com,646,12165.22
83,Customer_83,customer_83@example.com,736,8951.06
84,Customer_84,customer_84@example.com,703,24507.46
85,Customer_85,customer_85@example.com,522,287.32
86,Customer_86,customer_86@example.com,484,14499.32
87,Customer_87,customer_87@example.com,633,36916.95
88,Customer_88,customer_88@example.com,682,13788.76
89,Customer_89,customer_89@example.com,326,24961.55
90,Customer_90,customer_90@example.com,658,257.33
91,Customer_91,customer_91@example.com,358,23065.23
92,Customer_92,customer_92@example.com,794,4466.35
93,Customer_93,customer_93@example.com,396,1510.35
94,Customer_94,customer_94@example.com,534,17996.26
95,Customer_95,customer_95@example.com,734,6486.43
96,Customer_96,customer_96@example.com,333,43873.46
97,Customer_97,customer_97@example.com,849,18539.77
98,Customer_98,customer_98@example.com,556,42870.27
99,Customer_99,customer_99@example.com,551,26923.87
100,Customer_100,customer_100@example.com,815,33699.36
